ENSG00000278198	ENST00000611619	ENSP00000482855
ENSG00000072818	ENST00000158762	ENSP00000158762
ENSG00000204176	ENST00000374321	ENSP00000363441
ENSG00000132911	ENST00000255262	ENSP00000255262
ENSG00000136270	ENST00000258770	ENSP00000258770
ENSG00000123094	ENST00000405154	ENSP00000384491
ENSG00000166484	ENST00000308406	ENSP00000311005
ENSG00000001617	ENST00000002829	ENSP00000002829
ENSG00000165527	ENST00000298316	ENSP00000298316
ENSG00000104419	ENST00000414097	ENSP00000404854
ENSG00000171517	ENST00000440886	ENSP00000395389
ENSG00000276903	ENST00000613174	ENSP00000482538
ENSG00000197238	ENST00000355057	ENSP00000347168
ENSG00000139629	ENST00000543196	ENSP00000444171
ENSG00000196747	ENST00000358739	ENSP00000351589
ENSG00000120280	ENST00000378962	ENSP00000368245
ENSG00000078177	ENST00000261435	ENSP00000261435
ENSG00000105509	ENST00000222115	ENSP00000222115
ENSG00000050438	ENST00000453097	ENSP00000405812
ENSG00000196388	ENST00000574617	ENSP00000458316
ENSG00000198798	ENST00000361644	ENSP00000355198
ENSG00000102385	ENST00000395209	ENSP00000378635
ENSG00000038219	ENST00000040738	ENSP00000040738
ENSG00000139344	ENST00000266736	ENSP00000266736
ENSG00000276547	ENST00000617380	ENSP00000478258
ENSG00000112031	ENST00000367233	ENSP00000356202
ENSG00000151239	ENST00000548315	ENSP00000449428
ENSG00000253731	ENST00000517434	ENSP00000429601
ENSG00000240184	ENST00000308177	ENSP00000312070
ENSG00000135374	ENST00000312319	ENSP00000311010
ENSG00000164574	ENST00000297107	ENSP00000297107
ENSG00000185742	ENST00000327419	ENSP00000331581
ENSG00000170545	ENST00000603798	ENSP00000475068
ENSG00000183283	ENST00000549555	ENSP00000448051
ENSG00000116985	ENST00000372827	ENSP00000361915
ENSG00000160339	ENST00000291744	ENSP00000291744
ENSG00000159182	ENST00000290294	ENSP00000290294
ENSG00000134198	ENST00000369516	ENSP00000358529
ENSG00000153130	ENST00000608372	ENSP00000477352
ENSG00000047662	ENST00000265018	ENSP00000265018
ENSG00000063176	ENST00000245222	ENSP00000245222
ENSG00000100865	ENST00000216756	ENSP00000216756
ENSG00000131373	ENST00000321169	ENSP00000323811
ENSG00000108424	ENST00000290158	ENSP00000290158
ENSG00000147896	ENST00000276943	ENSP00000276943
ENSG00000100985	ENST00000372330	ENSP00000361405
ENSG00000170955	ENST00000303927	ENSP00000307292
ENSG00000112293	ENST00000230036	ENSP00000230036
ENSG00000267001	ENST00000586572	ENSP00000467958
ENSG00000186335	ENST00000335244	ENSP00000334223
ENSG00000105258	ENST00000221859	ENSP00000221859
ENSG00000104892	ENST00000391946	ENSP00000375810
ENSG00000197479	ENST00000354757	ENSP00000346802
ENSG00000164663	ENST00000394253	ENSP00000377797
ENSG00000141994	ENST00000309061	ENSP00000311977
ENSG00000112273	ENST00000510882	ENSP00000442129
ENSG00000174898	ENST00000381624	ENSP00000371037
ENSG00000151552	ENST00000281243	ENSP00000281243
ENSG00000137731	ENST00000292079	ENSP00000292079
ENSG00000249884	ENST00000604011	ENSP00000474823
ENSG00000058668	ENST00000357681	ENSP00000350310
ENSG00000078369	ENST00000610897	ENSP00000481878
ENSG00000090621	ENST00000372858	ENSP00000361949
ENSG00000119121	ENST00000360774	ENSP00000354006
ENSG00000105877	ENST00000409508	ENSP00000475939
ENSG00000076706	ENST00000264036	ENSP00000264036
ENSG00000134954	ENST00000392668	ENSP00000376436
ENSG00000166394	ENST00000533558	ENSP00000437041
ENSG00000114779	ENST00000483233	ENSP00000420065
ENSG00000134644	ENST00000426105	ENSP00000391723
ENSG00000163444	ENST00000367242	ENSP00000356211
ENSG00000267855	ENST00000301457	ENSP00000301457
ENSG00000258817	ENST00000555099	ENSP00000452277
ENSG00000196653	ENST00000296091	ENSP00000296091
ENSG00000183542	ENST00000309384	ENSP00000310216
ENSG00000255307	ENST00000530810	ENSP00000432011
ENSG00000186160	ENST00000334194	ENSP00000334246
ENSG00000151090	ENST00000396671	ENSP00000379904
ENSG00000013275	ENST00000157812	ENSP00000157812
ENSG00000173588	ENST00000397809	ENSP00000380911
ENSG00000120833	ENST00000622746	ENSP00000481249
ENSG00000196787	ENST00000359193	ENSP00000352119
ENSG00000172264	ENST00000217246	ENSP00000217246
ENSG00000117139	ENST00000367265	ENSP00000356234
ENSG00000054179	ENST00000355097	ENSP00000347213
ENSG00000106665	ENST00000223398	ENSP00000223398
ENSG00000244274	ENST00000372710	ENSP00000361795
ENSG00000013561	ENST00000394520	ENSP00000378028
ENSG00000138131	ENST00000260702	ENSP00000260702
ENSG00000166483	ENST00000450114	ENSP00000402084
ENSG00000260916	ENST00000442196	ENSP00000403400
ENSG00000139517	ENST00000316334	ENSP00000325929
ENSG00000118655	ENST00000369563	ENSP00000358576
ENSG00000146678	ENST00000275525	ENSP00000275525
ENSG00000036828	ENST00000498619	ENSP00000420194
ENSG00000233041	ENST00000448599	ENSP00000410024
ENSG00000198892	ENST00000362011	ENSP00000355064
ENSG00000010704	ENST00000357618	ENSP00000417404
ENSG00000123453	ENST00000371872	ENSP00000360938
ENSG00000166974	ENST00000300249	ENSP00000300249
ENSG00000182551	ENST00000327435	ENSP00000333666
ENSG00000268988	ENST00000598475	ENSP00000470584
ENSG00000151690	ENST00000392328	ENSP00000376141
ENSG00000137948	ENST00000399546	ENSP00000387822
ENSG00000185100	ENST00000332972	ENSP00000333019
ENSG00000167525	ENST00000301039	ENSP00000301039
ENSG00000162398	ENST00000371273	ENSP00000360320
ENSG00000090932	ENST00000205143	ENSP00000205143
ENSG00000133226	ENST00000323848	ENSP00000326261
ENSG00000049130	ENST00000228280	ENSP00000228280
ENSG00000100867	ENST00000344777	ENSP00000344674
ENSG00000182195	ENST00000370526	ENSP00000359557
ENSG00000139324	ENST00000266712	ENSP00000266712
ENSG00000128310	ENST00000249041	ENSP00000249041
ENSG00000165805	ENST00000298699	ENSP00000298699
ENSG00000180801	ENST00000315366	ENSP00000320219
ENSG00000165091	ENST00000297784	ENSP00000297784
ENSG00000109536	ENST00000226798	ENSP00000226798
ENSG00000213398	ENST00000264005	ENSP00000264005
ENSG00000179862	ENST00000372638	ENSP00000361721
ENSG00000182050	ENST00000611864	ENSP00000481096
ENSG00000197498	ENST00000441448	ENSP00000402338
ENSG00000144747	ENST00000398559	ENSP00000381567
ENSG00000198774	ENST00000361228	ENSP00000354884
ENSG00000168703	ENST00000372785	ENSP00000361871
ENSG00000175121	ENST00000372789	ENSP00000361875
ENSG00000189060	ENST00000340857	ENSP00000344504
ENSG00000185666	ENST00000358763	ENSP00000351614
ENSG00000262655	ENST00000576479	ENSP00000460236
ENSG00000112144	ENST00000356971	ENSP00000349458
ENSG00000184731	ENST00000327669	ENSP00000328347
ENSG00000141503	ENST00000355280	ENSP00000347427
ENSG00000172073	ENST00000303254	ENSP00000307142
ENSG00000102158	ENST00000358075	ENSP00000354649
ENSG00000105323	ENST00000392006	ENSP00000375863
ENSG00000198736	ENST00000361871	ENSP00000355084
ENSG00000205268	ENST00000401827	ENSP00000385632
ENSG00000185760	ENST00000342056	ENSP00000345055
ENSG00000110921	ENST00000539575	ENSP00000443551
ENSG00000169896	ENST00000544665	ENSP00000441691
ENSG00000152443	ENST00000317178	ENSP00000321812
ENSG00000169208	ENST00000303532	ENSP00000302437
ENSG00000169258	ENST00000303991	ENSP00000305839
ENSG00000183513	ENST00000328709	ENSP00000330730
ENSG00000232382	ENST00000332650	ENSP00000373193
ENSG00000143153	ENST00000367816	ENSP00000356790
ENSG00000143553	ENST00000368685	ENSP00000357674
ENSG00000198585	ENST00000502852	ENSP00000422375
ENSG00000172568	ENST00000312349	ENSP00000310594
ENSG00000088205	ENST00000263239	ENSP00000263239
ENSG00000163382	ENST00000368235	ENSP00000357218
ENSG00000095015	ENST00000399503	ENSP00000382423
ENSG00000172752	ENST00000265379	ENSP00000265379
ENSG00000143194	ENST00000367872	ENSP00000356846
ENSG00000110887	ENST00000228476	ENSP00000228476
ENSG00000184922	ENST00000331495	ENSP00000329219
ENSG00000143631	ENST00000368799	ENSP00000357789
ENSG00000137745	ENST00000260302	ENSP00000260302
ENSG00000077721	ENST00000371558	ENSP00000360613
ENSG00000186416	ENST00000542113	ENSP00000442308
ENSG00000152382	ENST00000367874	ENSP00000356848
ENSG00000143365	ENST00000318247	ENSP00000327025
ENSG00000131037	ENST00000201647	ENSP00000201647
ENSG00000182645	ENST00000333254	ENSP00000329860
ENSG00000080815	ENST00000324501	ENSP00000326366
ENSG00000152611	ENST00000397367	ENSP00000380524
ENSG00000130783	ENST00000253079	ENSP00000253079
ENSG00000186572	ENST00000335021	ENSP00000334681
ENSG00000143776	ENST00000366769	ENSP00000355731
ENSG00000258227	ENST00000546910	ENSP00000449999
ENSG00000242252	ENST00000368272	ENSP00000357255
ENSG00000204022	ENST00000371939	ENSP00000361007
ENSG00000140416	ENST00000358278	ENSP00000351022
ENSG00000184719	ENST00000331772	ENSP00000332530
ENSG00000196597	ENST00000481138	ENSP00000419397
ENSG00000173559	ENST00000425611	ENSP00000403683
ENSG00000134352	ENST00000381298	ENSP00000370698
ENSG00000183317	ENST00000373048	ENSP00000362139
ENSG00000100823	ENST00000216714	ENSP00000216714
ENSG00000116299	ENST00000369939	ENSP00000358955
ENSG00000081087	ENST00000193322	ENSP00000193322
ENSG00000257046	ENST00000540229	ENSP00000441269
ENSG00000159403	ENST00000542285	ENSP00000438615
ENSG00000178226	ENST00000268281	ENSP00000268281
ENSG00000173401	ENST00000312442	ENSP00000310770
ENSG00000126251	ENST00000597214	ENSP00000473212
ENSG00000158517	ENST00000289473	ENSP00000289473
ENSG00000197540	ENST00000264553	ENSP00000264553
ENSG00000196109	ENST00000397121	ENSP00000380310
ENSG00000136026	ENST00000378026	ENSP00000367265
ENSG00000100578	ENST00000354386	ENSP00000346359
ENSG00000008282	ENST00000011473	ENSP00000011473
ENSG00000106341	ENST00000342032	ENSP00000340125
ENSG00000244242	ENST00000340134	ENSP00000344430
ENSG00000181555	ENST00000409792	ENSP00000386759
ENSG00000185940	ENST00000399676	ENSP00000382584
ENSG00000172689	ENST00000308287	ENSP00000311862
ENSG00000153140	ENST00000522083	ENSP00000428259
ENSG00000185479	ENST00000252252	ENSP00000252252
ENSG00000166961	ENST00000405633	ENSP00000386022
ENSG00000175137	ENST00000366472	ENSP00000355428
ENSG00000196850	ENST00000354300	ENSP00000346255
ENSG00000143502	ENST00000343846	ENSP00000344219
ENSG00000226887	ENST00000443173	ENSP00000460602
ENSG00000125861	ENST00000319242	ENSP00000313423
ENSG00000132603	ENST00000254940	ENSP00000254940
ENSG00000152558	ENST00000398136	ENSP00000381204
ENSG00000100196	ENST00000409006	ENSP00000386918
ENSG00000260371	ENST00000563634	ENSP00000454500
ENSG00000132906	ENST00000333868	ENSP00000330237
ENSG00000143622	ENST00000368322	ENSP00000357305
ENSG00000167123	ENST00000372838	ENSP00000361929
ENSG00000229474	ENST00000434130	ENSP00000416673
ENSG00000147869	ENST00000380911	ENSP00000370297
ENSG00000113739	ENST00000265087	ENSP00000265087
ENSG00000153975	ENST00000368576	ENSP00000357565
ENSG00000180357	ENST00000326648	ENSP00000316527
ENSG00000165688	ENST00000371717	ENSP00000360782
ENSG00000165684	ENST00000298532	ENSP00000298532
ENSG00000092201	ENST00000216297	ENSP00000216297
ENSG00000122787	ENST00000242375	ENSP00000242375
ENSG00000101199	ENST00000353546	ENSP00000314615
ENSG00000107736	ENST00000398788	ENSP00000381768
ENSG00000163875	ENST00000373075	ENSP00000362166
ENSG00000158792	ENST00000289805	ENSP00000289805
ENSG00000169621	ENST00000303795	ENSP00000307004
ENSG00000146776	ENST00000419735	ENSP00000410759
ENSG00000084073	ENST00000372759	ENSP00000361845
ENSG00000037241	ENST00000521476	ENSP00000428223
ENSG00000161992	ENST00000409413	ENSP00000386499
ENSG00000171530	ENST00000306388	ENSP00000306362
ENSG00000136930	ENST00000259457	ENSP00000259457
ENSG00000147471	ENST00000328195	ENSP00000333551
ENSG00000196535	ENST00000527372	ENSP00000437073
ENSG00000143353	ENST00000366928	ENSP00000355895
ENSG00000187608	ENST00000379389	ENSP00000368699
ENSG00000197891	ENST00000377574	ENSP00000366797
ENSG00000180834	ENST00000318631	ENSP00000314560
ENSG00000123739	ENST00000243501	ENSP00000243501
ENSG00000162636	ENST00000370035	ENSP00000359052
ENSG00000197241	ENST00000400906	ENSP00000383698
ENSG00000130958	ENST00000253270	ENSP00000253270
ENSG00000135519	ENST00000257981	ENSP00000257981
ENSG00000122121	ENST00000371106	ENSP00000360147
ENSG00000188800	ENST00000372766	ENSP00000361852
ENSG00000103319	ENST00000263026	ENSP00000263026
ENSG00000205403	ENST00000394634	ENSP00000378130
ENSG00000171914	ENST00000561311	ENSP00000453508
ENSG00000186603	ENST00000334815	ENSP00000335060
ENSG00000162869	ENST00000294952	ENSP00000294952
ENSG00000065357	ENST00000331886	ENSP00000328405
ENSG00000130948	ENST00000375263	ENSP00000364412
ENSG00000173581	ENST00000586790	ENSP00000465757
ENSG00000162814	ENST00000366933	ENSP00000355900
ENSG00000136051	ENST00000620430	ENSP00000484713
ENSG00000052126	ENST00000429027	ENSP00000404296
ENSG00000213015	ENST00000543039	ENSP00000443957
ENSG00000171425	ENST00000587252	ENSP00000466047
ENSG00000153993	ENST00000284136	ENSP00000284136
ENSG00000213928	ENST00000396864	ENSP00000380073
ENSG00000149532	ENST00000340437	ENSP00000345412
ENSG00000151131	ENST00000552951	ENSP00000447057
ENSG00000255529	ENST00000299638	ENSP00000299638
ENSG00000092200	ENST00000400017	ENSP00000382895
ENSG00000118418	ENST00000620514	ENSP00000482613
ENSG00000204278	ENST00000421688	ENSP00000402790
ENSG00000137171	ENST00000259708	ENSP00000259708
ENSG00000269547	ENST00000599996	ENSP00000472465
ENSG00000188641	ENST00000370192	ENSP00000359211
ENSG00000100162	ENST00000215980	ENSP00000215980
ENSG00000204516	ENST00000252229	ENSP00000252229
ENSG00000243137	ENST00000405312	ENSP00000384770
ENSG00000142621	ENST00000358897	ENSP00000351770
ENSG00000059769	ENST00000313525	ENSP00000320650
ENSG00000012124	ENST00000085219	ENSP00000085219
ENSG00000272333	ENST00000420124	ENSP00000398837
ENSG00000163873	ENST00000373091	ENSP00000362183
ENSG00000196427	ENST00000415641	ENSP00000389237
ENSG00000267796	ENST00000301159	ENSP00000301159
ENSG00000112306	ENST00000230050	ENSP00000230050
ENSG00000179943	ENST00000221665	ENSP00000221665
ENSG00000175782	ENST00000398004	ENSP00000381089
ENSG00000204941	ENST00000366175	ENSP00000382334
ENSG00000171443	ENST00000591046	ENSP00000466907
ENSG00000218891	ENST00000325421	ENSP00000320188
ENSG00000112651	ENST00000388752	ENSP00000373404
ENSG00000159842	ENST00000302538	ENSP00000303909
ENSG00000181444	ENST00000302017	ENSP00000304769
ENSG00000104835	ENST00000600042	ENSP00000472847
ENSG00000119401	ENST00000450136	ENSP00000408292
ENSG00000104974	ENST00000251372	ENSP00000251372
ENSG00000006744	ENST00000338034	ENSP00000337445
ENSG00000023330	ENST00000394965	ENSP00000378416
ENSG00000111371	ENST00000552197	ENSP00000449756
ENSG00000175727	ENST00000319080	ENSP00000312834
ENSG00000188735	ENST00000449592	ENSP00000404991
ENSG00000118246	ENST00000236980	ENSP00000236980
ENSG00000154027	ENST00000354567	ENSP00000346577
ENSG00000143627	ENST00000342741	ENSP00000339933
ENSG00000153789	ENST00000539556	ENSP00000443411
ENSG00000089041	ENST00000328963	ENSP00000330696
ENSG00000132003	ENST00000254323	ENSP00000254323
ENSG00000111786	ENST00000229390	ENSP00000229390
ENSG00000114948	ENST00000264377	ENSP00000264377
ENSG00000141101	ENST00000268802	ENSP00000268802
ENSG00000104888	ENST00000221485	ENSP00000221485
ENSG00000072274	ENST00000360110	ENSP00000353224
ENSG00000261949	ENST00000576655	ENSP00000459439
ENSG00000175143	ENST00000366474	ENSP00000355430
ENSG00000198104	ENST00000355728	ENSP00000347965
ENSG00000177201	ENST00000317996	ENSP00000324583
ENSG00000197454	ENST00000355281	ENSP00000347428
ENSG00000134287	ENST00000256682	ENSP00000256682
ENSG00000169224	ENST00000536561	ENSP00000446460
ENSG00000145337	ENST00000273968	ENSP00000273968
ENSG00000138641	ENST00000402738	ENSP00000385684
ENSG00000162849	ENST00000407071	ENSP00000385545
ENSG00000054282	ENST00000366541	ENSP00000355499
ENSG00000117091	ENST00000613788	ENSP00000484431
ENSG00000029363	ENST00000531224	ENSP00000435210
ENSG00000183273	ENST00000327554	ENSP00000333374
ENSG00000174950	ENST00000374027	ENSP00000363139
ENSG00000162783	ENST00000367577	ENSP00000356549
ENSG00000111707	ENST00000543473	ENSP00000443988
ENSG00000130244	ENST00000252530	ENSP00000252530
ENSG00000258465	ENST00000556710	ENSP00000451235
ENSG00000143515	ENST00000368489	ENSP00000357475
ENSG00000169223	ENST00000303127	ENSP00000303366
ENSG00000196408	ENST00000397280	ENSP00000380450
ENSG00000105372	ENST00000598742	ENSP00000470972
ENSG00000177981	ENST00000317697	ENSP00000320893
ENSG00000163644	ENST00000608933	ENSP00000477341
ENSG00000167797	ENST00000301488	ENSP00000301488
ENSG00000161202	ENST00000313143	ENSP00000316054
ENSG00000136240	ENST00000258739	ENSP00000258739
ENSG00000166289	ENST00000436066	ENSP00000389787
ENSG00000235750	ENST00000545251	ENSP00000464040
ENSG00000134201	ENST00000256593	ENSP00000256593
ENSG00000125378	ENST00000245451	ENSP00000245451
ENSG00000066557	ENST00000370952	ENSP00000359990
ENSG00000150990	ENST00000308736	ENSP00000311135
ENSG00000105880	ENST00000222598	ENSP00000222598
ENSG00000117601	ENST00000367698	ENSP00000356671
ENSG00000164691	ENST00000367066	ENSP00000356033
ENSG00000176204	ENST00000409093	ENSP00000386357
ENSG00000258691	ENST00000553811	ENSP00000450984
ENSG00000168398	ENST00000554311	ENSP00000450482
ENSG00000130475	ENST00000594202	ENSP00000473001
ENSG00000099337	ENST00000263372	ENSP00000263372
ENSG00000120334	ENST00000356198	ENSP00000348527
ENSG00000135094	ENST00000257549	ENSP00000257549
ENSG00000152556	ENST00000340802	ENSP00000345771
ENSG00000173262	ENST00000539924	ENSP00000445929
ENSG00000162946	ENST00000366633	ENSP00000355593
ENSG00000213024	ENST00000596217	ENSP00000471191
ENSG00000175707	ENST00000320567	ENSP00000319179
ENSG00000177984	ENST00000316144	ENSP00000313833
ENSG00000100522	ENST00000216410	ENSP00000216410
ENSG00000056277	ENST00000370978	ENSP00000360017
ENSG00000176222	ENST00000587539	ENSP00000466051
ENSG00000100558	ENST00000216446	ENSP00000216446
ENSG00000104960	ENST00000391842	ENSP00000375717
ENSG00000213096	ENST00000357002	ENSP00000349494
ENSG00000167258	ENST00000447079	ENSP00000398880
ENSG00000204514	ENST00000435989	ENSP00000410545
ENSG00000274749	ENST00000621162	ENSP00000479656
ENSG00000183640	ENST00000329621	ENSP00000332805
ENSG00000117036	ENST00000368192	ENSP00000357175
ENSG00000111344	ENST00000546530	ENSP00000450244
ENSG00000139190	ENST00000396308	ENSP00000379602
ENSG00000163131	ENST00000368985	ENSP00000357981
ENSG00000139193	ENST00000266557	ENSP00000266557
ENSG00000187800	ENST00000338302	ENSP00000344465
ENSG00000187005	ENST00000335093	ENSP00000335566
ENSG00000184032	ENST00000330798	ENSP00000330746
ENSG00000244624	ENST00000334664	ENSP00000335503
ENSG00000117215	ENST00000375105	ENSP00000364246
ENSG00000185761	ENST00000330475	ENSP00000327608
ENSG00000174780	ENST00000342756	ENSP00000342181
ENSG00000206107	ENST00000382835	ENSP00000372286
ENSG00000188786	ENST00000373036	ENSP00000362127
ENSG00000180185	ENST00000382666	ENSP00000372112
ENSG00000172901	ENST00000357872	ENSP00000350541
ENSG00000141012	ENST00000268695	ENSP00000268695
ENSG00000155545	ENST00000381199	ENSP00000370596
ENSG00000188015	ENST00000368713	ENSP00000357702
ENSG00000143774	ENST00000366728	ENSP00000355689
ENSG00000237038	ENST00000527080	ENSP00000485306
ENSG00000125686	ENST00000300651	ENSP00000300651
ENSG00000188784	ENST00000375116	ENSP00000364257
ENSG00000186226	ENST00000368770	ENSP00000357759
ENSG00000183137	ENST00000517392	ENSP00000427844
ENSG00000174197	ENST00000219905	ENSP00000219905
ENSG00000268533	ENST00000597410	ENSP00000472152
ENSG00000138161	ENST00000368904	ENSP00000357900
ENSG00000144827	ENST00000273359	ENSP00000273359
ENSG00000010282	ENST00000441594	ENSP00000405423
ENSG00000146197	ENST00000274938	ENSP00000274938
ENSG00000151665	ENST00000281382	ENSP00000281382
ENSG00000173137	ENST00000308860	ENSP00000310547
ENSG00000178796	ENST00000479191	ENSP00000419249
ENSG00000176927	ENST00000394835	ENSP00000378312
ENSG00000127526	ENST00000595753	ENSP00000470652
ENSG00000204701	ENST00000377169	ENSP00000366374
ENSG00000141404	ENST00000334049	ENSP00000334051
ENSG00000264522	ENST00000581312	ENSP00000462729
ENSG00000102226	ENST00000218348	ENSP00000218348
ENSG00000169604	ENST00000303714	ENSP00000301945
ENSG00000171862	ENST00000371953	ENSP00000361021
ENSG00000103111	ENST00000248248	ENSP00000248248
ENSG00000255251	ENST00000533250	ENSP00000436891
ENSG00000198129	ENST00000355602	ENSP00000347810
ENSG00000014914	ENST00000439741	ENSP00000391668
ENSG00000125954	ENST00000549987	ENSP00000447121
ENSG00000103569	ENST00000219919	ENSP00000219919
ENSG00000165782	ENST00000398020	ENSP00000381102
ENSG00000149196	ENST00000278483	ENSP00000278483
ENSG00000130477	ENST00000519716	ENSP00000429562
ENSG00000204842	ENST00000377617	ENSP00000366843
ENSG00000184270	ENST00000331128	ENSP00000332790
ENSG00000143375	ENST00000271636	ENSP00000271636
ENSG00000187082	ENST00000335479	ENSP00000334364
ENSG00000170464	ENST00000302060	ENSP00000302843
ENSG00000158571	ENST00000375006	ENSP00000364145
ENSG00000278311	ENST00000613102	ENSP00000478220
ENSG00000085433	ENST00000400794	ENSP00000383599
ENSG00000142669	ENST00000270792	ENSP00000270792
ENSG00000269713	ENST00000615421	ENSP00000477979
ENSG00000167183	ENST00000300557	ENSP00000300557
ENSG00000170091	ENST00000303177	ENSP00000307722
ENSG00000139155	ENST00000545604	ENSP00000444149
ENSG00000169756	ENST00000542845	ENSP00000446121
ENSG00000154997	ENST00000388975	ENSP00000373627
ENSG00000164659	ENST00000450689	ENSP00000413445
ENSG00000099260	ENST00000263174	ENSP00000263174
ENSG00000104941	ENST00000221538	ENSP00000221538
ENSG00000163479	ENST00000295702	ENSP00000295702
ENSG00000183048	ENST00000545862	ENSP00000446242
ENSG00000262660	ENST00000571730	ENSP00000461324
ENSG00000108255	ENST00000225387	ENSP00000225387
ENSG00000068781	ENST00000394754	ENSP00000378236
ENSG00000131773	ENST00000355849	ENSP00000348108
ENSG00000149527	ENST00000378486	ENSP00000367747
ENSG00000183876	ENST00000328668	ENSP00000333395
ENSG00000163738	ENST00000395759	ENSP00000379108
ENSG00000130669	ENST00000593690	ENSP00000469413
ENSG00000139154	ENST00000398864	ENSP00000381840
ENSG00000184545	ENST00000397374	ENSP00000380530
ENSG00000081377	ENST00000375241	ENSP00000364389
ENSG00000011083	ENST00000230671	ENSP00000230671
ENSG00000066135	ENST00000372396	ENSP00000361473
ENSG00000164221	ENST00000379611	ENSP00000368931
ENSG00000112499	ENST00000366953	ENSP00000355920
ENSG00000166432	ENST00000372782	ENSP00000361868
ENSG00000177370	ENST00000327158	ENSP00000320236
ENSG00000105695	ENST00000392213	ENSP00000376048
ENSG00000179954	ENST00000389623	ENSP00000374274
ENSG00000167434	ENST00000300900	ENSP00000300900
ENSG00000175003	ENST00000366963	ENSP00000355930
ENSG00000008196	ENST00000393655	ENSP00000377265
ENSG00000120837	ENST00000240055	ENSP00000240055
ENSG00000146223	ENST00000493763	ENSP00000418221
ENSG00000011590	ENST00000392197	ENSP00000376035
ENSG00000144681	ENST00000273183	ENSP00000273183
ENSG00000136636	ENST00000259154	ENSP00000259154
ENSG00000130005	ENST00000447102	ENSP00000403536
ENSG00000066777	ENST00000262215	ENSP00000262215
ENSG00000225362	ENST00000449977	ENSP00000399356
ENSG00000185379	ENST00000590016	ENSP00000466399
ENSG00000171217	ENST00000367165	ENSP00000356133
ENSG00000113240	ENST00000316308	ENSP00000316948
ENSG00000064199	ENST00000532692	ENSP00000432305
ENSG00000140612	ENST00000558134	ENSP00000452697
ENSG00000070540	ENST00000262139	ENSP00000262139
ENSG00000179088	ENST00000378113	ENSP00000367353
ENSG00000203705	ENST00000532324	ENSP00000431376
ENSG00000130347	ENST00000369063	ENSP00000358059
ENSG00000187583	ENST00000379410	ENSP00000368720
ENSG00000146243	ENST00000369940	ENSP00000358956
ENSG00000089685	ENST00000301633	ENSP00000301633
ENSG00000198203	ENST00000326853	ENSP00000319622
ENSG00000130559	ENST00000389532	ENSP00000374183
ENSG00000078699	ENST00000346541	ENSP00000262653
ENSG00000172954	ENST00000309052	ENSP00000310551
ENSG00000115318	ENST00000264094	ENSP00000264094
ENSG00000255837	ENST00000538986	ENSP00000441624
ENSG00000253598	ENST00000518568	ENSP00000428612
ENSG00000185670	ENST00000394807	ENSP00000378286
ENSG00000212124	ENST00000390673	ENSP00000375091
ENSG00000255374	ENST00000531678	ENSP00000431719
ENSG00000135424	ENST00000553804	ENSP00000452120
ENSG00000197309	ENST00000318666	ENSP00000323895
ENSG00000137601	ENST00000507142	ENSP00000424757
ENSG00000156959	ENST00000287585	ENSP00000287585
ENSG00000274226	ENST00000610350	ENSP00000482630
ENSG00000111215	ENST00000228811	ENSP00000228811
ENSG00000185662	ENST00000330910	ENSP00000331214
ENSG00000256436	ENST00000390675	ENSP00000375093
ENSG00000089682	ENST00000372479	ENSP00000361557
ENSG00000154096	ENST00000284240	ENSP00000284240
ENSG00000256892	ENST00000544824	ENSP00000439985
ENSG00000167210	ENST00000300591	ENSP00000300591
ENSG00000134551	ENST00000396400	ENSP00000379682
ENSG00000163440	ENST00000295645	ENSP00000295645
ENSG00000041357	ENST00000044462	ENSP00000044462
ENSG00000108688	ENST00000378569	ENSP00000367832
ENSG00000274933	ENST00000621034	ENSP00000481258
ENSG00000133246	ENST00000423345	ENSP00000408342
ENSG00000082684	ENST00000451055	ENSP00000389588
ENSG00000196591	ENST00000519065	ENSP00000430432
ENSG00000158526	ENST00000375151	ENSP00000364293
ENSG00000105568	ENST00000322088	ENSP00000324804
ENSG00000148798	ENST00000369849	ENSP00000358865
ENSG00000138378	ENST00000392320	ENSP00000376134
ENSG00000104808	ENST00000221403	ENSP00000221403
ENSG00000102302	ENST00000375135	ENSP00000364277
ENSG00000175398	ENST00000309675	ENSP00000308082
ENSG00000179399	ENST00000377067	ENSP00000366267
ENSG00000177558	ENST00000324675	ENSP00000323355
ENSG00000137413	ENST00000372977	ENSP00000362068
ENSG00000121314	ENST00000240615	ENSP00000240615
ENSG00000005844	ENST00000356798	ENSP00000349252
ENSG00000165588	ENST00000339475	ENSP00000343819
ENSG00000184954	ENST00000327335	ENSP00000329153
ENSG00000161980	ENST00000293860	ENSP00000293860
ENSG00000197279	ENST00000377325	ENSP00000366542
ENSG00000203972	ENST00000371197	ENSP00000360240
ENSG00000147432	ENST00000289957	ENSP00000289957
ENSG00000179626	ENST00000394256	ENSP00000377799
ENSG00000113712	ENST00000515768	ENSP00000421689
ENSG00000066056	ENST00000372476	ENSP00000361554
ENSG00000179695	ENST00000322678	ENSP00000323606
ENSG00000127314	ENST00000250559	ENSP00000250559
ENSG00000052850	ENST00000329255	ENSP00000332744
ENSG00000104228	ENST00000305364	ENSP00000301924
ENSG00000170348	ENST00000303575	ENSP00000303145
ENSG00000132429	ENST00000254765	ENSP00000254765
ENSG00000135631	ENST00000258098	ENSP00000258098
